property,Large Atten Mean. Mean(STD),Small Atten. Mean(STD),P Value,Head, 
Proportion is_connecting_to_pep,0.1299+-0.3163,0.0731+-0.0524,0.11370125522755098,0,
Proportion is_connecting_to_cdr,0.4091+-0.4749,0.4415+-0.1010,0.5786037369054622,0,
Proportion is_connecting_to_ownchain_tcr,0.6753+-0.4613,0.6609+-0.0803,0.7910182740628771,0,
Proportion is_connecting_to_ownchain_cdr,0.3766+-0.4570,0.4152+-0.0924,0.48334673413991625,0,
Proportion is_connecting_to_opposite_chain_tcr,0.1429+-0.3309,0.1574+-0.1033,0.7048945521232367,0,
Proportion is_connecting_to_opposite_chain_cdr,0.0455+-0.1834,0.0512+-0.0768,0.7968126889281694,0,
Proportion is_connecting_to_tcr,0.7403+-0.4310,0.7353+-0.0892,0.9222762981707813,0,
Proportion is_connecting_to_notCDR_tcr,0.5390+-0.4613,0.4286+-0.0715,0.047630596133762755,0,***
Proportion digit4_is_in_edge,0.6875+-0.4203,0.5997+-0.0383,0.09542188394862038,0,
distance_value,8.1555+-4.7425,8.5256+-1.4510,0.5103320103868108,0,
num_bonds,2.1818+-1.5582,2.1373+-0.6696,0.5259576212179085,0,
Proportion is_connecting_to_pep,0.0732+-0.2358,0.0740+-0.0536,0.9751139883050105,1,
Proportion is_connecting_to_cdr,0.3821+-0.4453,0.4381+-0.0847,0.2488138632366258,1,
Proportion is_connecting_to_ownchain_tcr,0.5691+-0.4625,0.6643+-0.0758,0.06612877157549431,1,
Proportion is_connecting_to_ownchain_cdr,0.3699+-0.4471,0.4172+-0.0809,0.3351129114242408,1,
Proportion is_connecting_to_opposite_chain_tcr,0.1829+-0.3515,0.1515+-0.0962,0.409714077584418,1,
Proportion is_connecting_to_opposite_chain_cdr,0.0427+-0.1738,0.0442+-0.0695,0.9248391581130151,1,
Proportion is_connecting_to_tcr,0.6880+-0.4413,0.7370+-0.0781,0.3052126612472125,1,
Proportion is_connecting_to_notCDR_tcr,0.4309+-0.4654,0.4326+-0.0686,0.9742682103042548,1,
Proportion digit4_is_in_edge,0.6349+-0.4550,0.6061+-0.0400,0.5918524541454933,1,
distance_value,7.7924+-4.3228,8.5447+-1.4979,0.1395148296791916,1,
num_bonds,2.0051+-1.7031,2.1462+-0.6532,0.5912997160004112,1,
Proportion is_connecting_to_pep,0.0563+-0.2091,0.0763+-0.0520,0.38608461398409455,2,
Proportion is_connecting_to_cdr,0.5979+-0.4508,0.4297+-0.0925,0.0010711268754515473,2,***
