property,Large Atten Mean. Mean(STD),Small Atten. Mean(STD),P Value,Head, 
Proportion is_connecting_to_pep,0.0878+-0.1993,0.0656+-0.0686,0.3494953493883296,0,
Proportion is_connecting_to_cdr,0.6218+-0.3308,0.4422+-0.1317,4.862914807283172e-06,0,***
Proportion is_connecting_to_ownchain_tcr,0.6734+-0.3364,0.6742+-0.1181,0.9827669207971658,0,
Proportion is_connecting_to_ownchain_cdr,0.5760+-0.3516,0.4270+-0.1375,0.00031362190185072353,0,***
Proportion is_connecting_to_opposite_chain_tcr,0.1483+-0.2337,0.1389+-0.1135,0.7258558692038858,0,
Proportion is_connecting_to_opposite_chain_cdr,0.0890+-0.2215,0.0314+-0.0644,0.01471400382974404,0,***
Proportion is_connecting_to_tcr,0.7361+-0.3234,0.7448+-0.1191,0.8035913510067201,0,
Proportion is_connecting_to_notCDR_tcr,0.3123+-0.3193,0.4355+-0.1203,0.0032915536421301655,0,***
Proportion digit4_is_in_edge,0.4341+-0.3368,0.6706+-0.0863,6.562724859220822e-06,0,***
distance_value,7.2015+-3.0552,8.7714+-1.7732,3.107590804655357e-05,0,***
num_bonds,2.1801+-1.1524,2.0686+-0.7304,0.22370724161702701,0,
Proportion is_connecting_to_pep,0.1144+-0.2046,0.0563+-0.0694,0.010388387643676753,1,***
Proportion is_connecting_to_cdr,0.5132+-0.3201,0.4528+-0.1321,0.10025873185001409,1,
Proportion is_connecting_to_ownchain_tcr,0.6212+-0.3111,0.6888+-0.1322,0.058215251723931404,1,
Proportion is_connecting_to_ownchain_cdr,0.4881+-0.3301,0.4336+-0.1340,0.14226637889553573,1,
Proportion is_connecting_to_opposite_chain_tcr,0.1890+-0.2531,0.1273+-0.1222,0.035268506382295874,1,***
Proportion is_connecting_to_opposite_chain_cdr,0.0384+-0.1032,0.0425+-0.0794,0.7269689334417759,1,
Proportion is_connecting_to_tcr,0.7416+-0.2813,0.7431+-0.1319,0.9624790321559081,1,
Proportion is_connecting_to_notCDR_tcr,0.3396+-0.2902,0.4407+-0.1220,0.006829426455351663,1,***
Proportion digit4_is_in_edge,0.4729+-0.3062,0.6874+-0.1003,1.5320911958651375e-06,1,***
distance_value,7.1356+-2.3234,8.9523+-1.8064,2.207464234393022e-07,1,***
num_bonds,2.0802+-1.0212,2.0919+-0.7618,0.8776736451577976,1,
Proportion is_connecting_to_pep,0.0831+-0.2605,0.0571+-0.0797,0.49100919979595825,2,
Proportion is_connecting_to_cdr,0.5370+-0.4368,0.4747+-0.1464,0.29840365223383364,2,
Proportion is_connecting_to_ownchain_tcr,0.7692+-0.3945,0.6620+-0.1208,0.054425962588568834,2,
Proportion is_connecting_to_ownchain_cdr,0.5201+-0.4379,0.4464+-0.1483,0.21632207541411386,2,
Proportion is_connecting_to_opposite_chain_tcr,0.1395+-0.3266,0.1543+-0.1119,0.7243297706867966,2,
Proportion is_connecting_to_opposite_chain_cdr,0.0678+-0.2514,0.0445+-0.0823,0.4484628409820136,2,
Proportion is_connecting_to_tcr,0.8204+-0.3575,0.7375+-0.1182,0.07714755660313355,2,
Proportion is_connecting_to_notCDR_tcr,0.4311+-0.4331,0.4192+-0.0916,0.8457214518780494,2,
Proportion digit4_is_in_edge,0.5697+-0.4279,0.6553+-0.0947,0.22342636700093899,2,
distance_value,8.8925+-3.5720,8.5255+-1.7205,0.6887973121779142,2,
num_bonds,2.0592+-1.0926,2.1022+-0.7280,0.7555675578818286,2,
Proportion is_connecting_to_pep,0.0521+-0.1142,0.0689+-0.0763,0.22863758297782397,3,
Proportion is_connecting_to_cdr,0.5440+-0.2960,0.4592+-0.1528,0.017490003605134,3,***
Proportion is_connecting_to_ownchain_tcr,0.6926+-0.2656,0.6623+-0.1369,0.34363593983405005,3,
Proportion is_connecting_to_ownchain_cdr,0.5106+-0.2998,0.4388+-0.1572,0.04788055622837733,3,***
Proportion is_connecting_to_opposite_chain_tcr,0.1702+-0.2485,0.1394+-0.1254,0.26866587973710887,3,
Proportion is_connecting_to_opposite_chain_cdr,0.0643+-0.1842,0.0406+-0.0728,0.17639869275585662,3,
Proportion is_connecting_to_tcr,0.7876+-0.2254,0.7263+-0.1443,0.02508042500937688,3,***
Proportion is_connecting_to_notCDR_tcr,0.3720+-0.2989,0.4281+-0.1111,0.1122973077876393,3,
Proportion digit4_is_in_edge,0.5754+-0.2973,0.6475+-0.1062,0.0819931377456675,3,
distance_value,8.2059+-2.6740,8.6846+-1.8725,0.09914454633298855,3,
num_bonds,2.1055+-1.0688,2.0721+-0.7417,0.6858471916757696,3,
Proportion is_connecting_to_pep,0.0756+-0.0901,0.0562+-0.1027,0.14956403921367148,all,
Proportion is_connecting_to_cdr,0.4948+-0.1813,0.4399+-0.1589,0.013463612957587263,all,***
Proportion is_connecting_to_ownchain_tcr,0.6369+-0.1952,0.6841+-0.1518,0.07266528758238625,all,
Proportion is_connecting_to_ownchain_cdr,0.4692+-0.1886,0.4244+-0.1573,0.04282048442374231,all,***
Proportion is_connecting_to_opposite_chain_tcr,0.1614+-0.1540,0.1292+-0.1498,0.10379623872555457,all,
Proportion is_connecting_to_opposite_chain_cdr,0.0500+-0.1108,0.0346+-0.0758,0.16333472567136204,all,
Proportion is_connecting_to_tcr,0.7288+-0.2007,0.7415+-0.1377,0.5877062274918772,all,
